CustomerID,CustomerName,City,Phone
1,Vikas D,Hyderabad,919315680034
2,Sunil J,Pune,919495084167
3,Rohan Nair,Mumbai,918337056399
4,Sunil Gupta,Hyderabad,917384942185
5,Payal T,Hyderabad,919621363619
6,Shivani B,Delhi,918717579777
7,Rohan Patil,Mumbai,918170911152
8,Pooja Singh,Delhi,918776179843
9,Durga Verma,Mumbai,917523496792
10,Arjun Kaur,Delhi,919244039005
11,Jaya Kulkarni,Hyderabad,917778030538
12,Priya Sharma,Hyderabad,917529237254
13,Divya Kaur,Pune,919925378910
14,Deepak P,Delhi,917779271753
15,Vinod Mehta,Bangalore,919255559564
16,Fatima R,Pune,917792787102
17,Manoj J,Delhi,918268210622
18,Jaya T,Delhi,917459032887
19,Divya D,Pune,919436587433
20,Deepak Singh,Hyderabad,917795550140
21,Rohit T,Delhi,918101928745
22,Vikas Shetty,Hyderabad,918823331411
23,Vikas M,Pune,919076812739
24,Neha Khan,Hyderabad,917373829493
25,Meenakshi Shetty,Mumbai,919363204992
26,Payal Verma,Bangalore,918604211883
27,Kavita J,Delhi,917186455415
28,Fatima Gupta,Bangalore,919261296812
29,Divya Nair,Hyderabad,919719364457
30,Manoj Singh,Delhi,917482343470
31,Simran P,Hyderabad,917011098252
32,Neha M,Mumbai,919583903094
33,Pooja Patil,Pune,919740125589
34,Priya Kulkarni,Delhi,919212660500
35,Durga Mehta,Mumbai,919549228763
36,Neha M,Mumbai,917979595144
37,Payal Kaur,Delhi,917910725640
38,Priya Mehta,Hyderabad,919777151246
39,Jaya Patil,Mumbai,919624143369
40,Simran R,Bangalore,917750646231
41,Manoj Nair,Mumbai,918765353849
42,Simran Nair,Hyderabad,918549506168
43,Harish R,Hyderabad,918517933263
44,Karan M,Bangalore,919390737968
45,Manoj S,Mumbai,918017351321
46,Suresh J,Hyderabad,918097986906
47,Karan Sharma,Delhi,918297339971
48,Deepak Gupta,Pune,918180282929
49,Suresh Sharma,Pune,918819941947
50,Divya Nair,Pune,919883746982
51,Arjun B,Mumbai,919867104969
52,Rajesh P,Bangalore,917410321041
53,Pooja Singh,Hyderabad,919679455395
54,Rahul Sharma,Delhi,917642973641
55,Vinod Desai,Delhi,918940327392
56,Anjali Gupta,Mumbai,918820829110
57,Payal Shetty,Pune,919519464177
58,Fatima Gupta,Mumbai,917657060420
59,Suresh Nair,Bangalore,917721615534
60,Divya Verma,Bangalore,918010329136
61,Amit R,Hyderabad,919031055520
62,Shivani Desai,Hyderabad,917930890358
63,Rahul Kaur,Bangalore,919299345556
64,Pooja Singh,Bangalore,917411090896
65,Amit Singh,Bangalore,917766419605
66,Rohit J,Mumbai,917101526959
67,Simran Singh,Bangalore,918341197092
68,Amit Desai,Delhi,919757246606
69,Payal Khan,Pune,917988899746
70,Vikas Shetty,Bangalore,919607449051
71,Manoj J,Pune,917885562822
72,Payal Mehta,Mumbai,919348047519
73,Fatima S,Pune,919740020746
74,Rajesh Gupta,Mumbai,917996205193
75,Sachin D,Delhi,918103307720
76,Sunil Patil,Mumbai,918678928461
77,Jaya Desai,Mumbai,919714485836
78,Shivani Gupta,Hyderabad,919553256444
79,Karan J,Bangalore,917251060664
80,Rohan Patil,Bangalore,919133597437
81,Karan Gupta,Delhi,917608916376
82,Vinod T,Delhi,918179141439
